,countyFIPS,annual_avg_emplvl
2870,1001,10974
3787,1003,74051
5321,1005,8113
6027,1007,4215
6585,1009,8535
7381,1011,2972
7734,1013,6748
8383,1015,44436
9787,1017,8351
10485,1019,5268
11113,1021,9511
11941,1023,3761
12407,1025,8016
13087,1027,4275
13523,1029,2124
13955,1031,15881
14935,1033,23830
16089,1035,3475
16558,1037,1406
16871,1039,12373
17792,1041,3685
18260,1043,28849
19436,1045,16978
20386,1047,12460
21279,1049,21797
22274,1051,19848
23327,1053,12774
24169,1055,36276
25348,1057,4020
25909,1059,10811
26627,1061,5012
27278,1063,1770
27657,1065,2732
28153,1067,3339
28711,1069,48045
30040,1071,15893
30997,1073,349955
33004,1075,3457
33511,1077,29738
34731,1079,4901
35372,1081,58997
36755,1083,23979
37799,1085,2354
38192,1087,4750
38685,1089,200339
40474,1091,7084
41176,1093,9990
41884,1095,37023
43123,1097,171077
44994,1099,6126
45631,1101,131023
47393,1103,48357
48733,1105,2121
49100,1107,3814
49653,1109,14255
50420,1111,4824
51017,1113,14063
51892,1115,19780
52928,1117,85040
54457,1119,2919
54935,1121,29683
56027,1123,12961
56868,1125,94506
58368,1127,18311
59378,1129,3585
59835,1131,2815
60315,1133,7878
60981,1999,53319
64778,2013,2183
64992,2016,3328
65354,2020,148160
67039,2050,6967
67501,2060,1300
67794,2068,2066
68107,2070,2561
68441,2090,36722
69803,2100,996
70203,2105,794
70492,2110,17308
71502,2122,19492
72668,2130,7325
73447,2150,5881
74133,2158,2262
74332,2164,973
74548,2170,23312
75796,2180,3849
76266,2185,11897
76713,2188,2878
77057,2195,1209
77486,2198,2215
77889,2220,4170
78529,2230,957
78833,2240,2486
79371,2261,4890
80002,2275,852
80316,2282,268
80495,2290,2296
80834,2999,1483
84460,4001,18029
85272,4003,33994
86592,4005,62682
88124,4007,14868
89079,4009,9148
89884,4011,4890
90184,4012,5816
90795,4013,1993417
93371,4015,50290
94805,4017,26677
95948,4019,368438
98008,4021,62137
99529,4023,13305
100497,4025,64683
102127,4027,67639
103630,4999,30085
107919,5001,9784
108748,5003,6680
109456,5005,14974
110497,5007,119780
112109,5009,14063
113159,5011,3816
113693,5013,3030
113965,5015,10658
114801,5017,3051
115292,5019,9383
116077,5021,3306
116592,5023,6325
117371,5025,1066
117677,5027,7948
118455,5029,6384
119228,5031,51051
120562,5033,19530
121624,5035,16113
122585,5037,4823
123244,5039,2690
123699,5041,4700
124260,5043,6445
124986,5045,40539
126316,5047,4670
126922,5049,1981
127355,5051,37201
128703,5053,4168
129243,5055,15506
130223,5057,7875
131008,5059,8248
131741,5061,6937
132316,5063,15919
133291,5065,3078
133773,5067,5159
134437,5069,27608
135641,5071,8561
136343,5073,1193
136719,5075,3968
137316,5077,1920
137696,5079,2820
138130,5081,3359
138629,5083,5322
139279,5085,14013
140278,5087,3339
140785,5089,3754
141303,5091,12918
142212,5093,17706
143141,5095,2045
143601,5097,1343
144024,5099,2472
144440,5101,1056
144719,5103,6903
145463,5105,1152
145843,5107,5494
146544,5109,2623
147035,5111,5254
147641,5113,5884
148402,5115,25993
149620,5117,1468
150026,5119,251108
152060,5121,5707
152727,5123,7377
153459,5125,24697
154627,5127,3060
155028,5129,1531
155411,5131,65429
156952,5133,4856
157492,5135,3598
158109,5137,2677
158668,5139,17409
