state_fips,county_fips,date,lf,emp,unemp,ur
1.0,1.0,2019-03-01,"     26,255 ","     25,424 ",      831 ,     3.2
1.0,3.0,2019-03-01,"     97,617 ","     94,468 ","    3,149 ",     3.2
1.0,5.0,2019-03-01,"      8,426 ","      8,069 ",      357 ,     4.2
1.0,7.0,2019-03-01,"      8,694 ","      8,384 ",      310 ,     3.6
1.0,9.0,2019-03-01,"     25,331 ","     24,538 ",      793 ,     3.1
1.0,11.0,2019-03-01,"      4,800 ","      4,628 ",      172 ,     3.6
1.0,13.0,2019-03-01,"      9,190 ","      8,826 ",      364 ,     4.0
1.0,15.0,2019-03-01,"     46,300 ","     44,442 ","    1,858 ",     4.0
1.0,17.0,2019-03-01,"     15,763 ","     15,226 ",      537 ,     3.4
1.0,19.0,2019-03-01,"     11,733 ","     11,345 ",      388 ,     3.3
1.0,21.0,2019-03-01,"     19,813 ","     19,194 ",      619 ,     3.1
1.0,23.0,2019-03-01,"      4,905 ","      4,668 ",      237 ,     4.8
1.0,25.0,2019-03-01,"      7,640 ","      7,183 ",      457 ,     6.0
1.0,27.0,2019-03-01,"      6,112 ","      5,906 ",      206 ,     3.4
1.0,29.0,2019-03-01,"      5,818 ","      5,597 ",      221 ,     3.8
1.0,31.0,2019-03-01,"     21,534 ","     20,804 ",      730 ,     3.4
1.0,33.0,2019-03-01,"     23,709 ","     22,724 ",      985 ,     4.2
1.0,35.0,2019-03-01,"      4,544 ","      4,337 ",      207 ,     4.6
1.0,37.0,2019-03-01,"      4,554 ","      4,396 ",      158 ,     3.5
1.0,39.0,2019-03-01,"     15,731 ","     15,112 ",      619 ,     3.9
1.0,41.0,2019-03-01,"      6,490 ","      6,264 ",      226 ,     3.5
1.0,43.0,2019-03-01,"     38,907 ","     37,714 ","    1,193 ",     3.1
1.0,45.0,2019-03-01,"     20,827 ","     20,064 ",      763 ,     3.7
1.0,47.0,2019-03-01,"     14,893 ","     14,028 ",      865 ,     5.8
1.0,49.0,2019-03-01,"     31,078 ","     30,026 ","    1,052 ",     3.4
1.0,51.0,2019-03-01,"     37,670 ","     36,540 ","    1,130 ",     3.0
1.0,53.0,2019-03-01,"     14,846 ","     14,283 ",      563 ,     3.8
1.0,55.0,2019-03-01,"     43,087 ","     41,434 ","    1,653 ",     3.8
1.0,57.0,2019-03-01,"      6,588 ","      6,356 ",      232 ,     3.5
1.0,59.0,2019-03-01,"     14,646 ","     14,173 ",      473 ,     3.2
1.0,61.0,2019-03-01,"     11,080 ","     10,705 ",      375 ,     3.4
1.0,63.0,2019-03-01,"      2,854 ","      2,699 ",      155 ,     5.4
1.0,65.0,2019-03-01,"      6,091 ","      5,838 ",      253 ,     4.2
1.0,67.0,2019-03-01,"      6,982 ","      6,688 ",      294 ,     4.2
1.0,69.0,2019-03-01,"     46,447 ","     44,834 ","    1,613 ",     3.5
1.0,71.0,2019-03-01,"     23,817 ","     22,892 ",      925 ,     3.9
1.0,73.0,2019-03-01,"    318,826 ","    308,404 ","   10,422 ",     3.3
1.0,75.0,2019-03-01,"      5,827 ","      5,623 ",      204 ,     3.5
1.0,77.0,2019-03-01,"     42,587 ","     41,081 ","    1,506 ",     3.5
1.0,79.0,2019-03-01,"     14,326 ","     13,819 ",      507 ,     3.5
1.0,81.0,2019-03-01,"     76,430 ","     73,908 ","    2,522 ",     3.3
1.0,83.0,2019-03-01,"     43,933 ","     42,577 ","    1,356 ",     3.1
1.0,85.0,2019-03-01,"      3,601 ","      3,379 ",      222 ,     6.2
1.0,87.0,2019-03-01,"      7,814 ","      7,434 ",      380 ,     4.9
1.0,89.0,2019-03-01,"    185,552 ","    180,020 ","    5,532 ",     3.0
