STATE,emp_diff_times_share
1,-0.006259123130676746
2,-0.006902120229817979
4,-0.0065106293301204045
5,-0.00586210036171617
6,-0.00667117833093169
8,-0.00697648420197971
9,-0.005790084313868762
10,-0.006399177578094092
11,-0.007991239786282373
12,-0.0071118397784587
13,-0.006553361649709986
15,-0.008878093974172196
16,-0.006157601381331227
17,-0.005992594029899469
18,-0.005621049629734481
19,-0.00505181854779162
20,-0.005714101820058028
21,-0.005962065750141034
22,-0.007222783254890186
23,-0.006009890565387728
24,-0.006687967265780077
25,-0.006214817810678615
26,-0.005883234420104626
27,-0.005500066869452361
28,-0.006322332605222673
29,-0.006075970008599265
30,-0.00703998773633268
31,-0.005520985714651318
32,-0.008678245960396904
33,-0.006050123402934771
34,-0.00584024977518252
35,-0.007684205092504401
36,-0.006317798241750532
37,-0.006450037175269183
38,-0.006191449970845609
39,-0.005885832543898455
40,-0.006867918638116323
41,-0.0063263418293529015
42,-0.005679546897644415
44,-0.00692762780042195
45,-0.006827245533225792
46,-0.005640781874625864
47,-0.0063279838706992745
48,-0.006855649083083093
49,-0.0059700499772004645
50,-0.0061092148944393515
51,-0.006665684540854299
53,-0.005811900649858563
54,-0.00639693584428559
55,-0.005471766750917385
56,-0.007413620781878951
72,-0.006458794424674909
78,-0.007865194889858774
