area_fips,naics_code,annual_avg_emplvl,STATE
1000,111,3309,1.0
1000,112,1954,1.0
1000,113,4054,1.0
1000,114,71,1.0
1000,115,2712,1.0
1000,211,411,1.0
1000,212,4946,1.0
1000,213,941,1.0
1000,221,22594,1.0
1000,236,19739,1.0
1000,237,17323,1.0
1000,238,52145,1.0
1000,311,32863,1.0
1000,312,2242,1.0
1000,313,5098,1.0
1000,314,3932,1.0
1000,315,2754,1.0
1000,316,38,1.0
1000,321,17303,1.0
1000,322,11824,1.0
1000,323,3371,1.0
1000,324,2380,1.0
1000,325,10350,1.0
1000,326,18206,1.0
1000,327,7203,1.0
1000,331,17249,1.0
1000,332,26773,1.0
1000,333,10542,1.0
1000,334,8806,1.0
1000,335,5278,1.0
1000,336,63876,1.0
1000,337,9623,1.0
1000,339,7088,1.0
1000,423,35241,1.0
1000,424,22458,1.0
1000,425,16298,1.0
1000,441,31952,1.0
1000,442,6649,1.0
1000,443,6461,1.0
1000,444,20689,1.0
1000,445,32534,1.0
1000,446,16494,1.0
1000,447,18445,1.0
1000,448,16374,1.0
1000,451,9131,1.0
1000,452,59186,1.0
1000,453,10741,1.0
1000,454,3143,1.0
1000,481,713,1.0
1000,483,422,1.0
1000,484,26973,1.0
1000,485,6864,1.0
1000,486,608,1.0
1000,487,87,1.0
1000,488,8484,1.0
1000,491,8784,1.0
1000,492,6767,1.0
1000,493,12958,1.0
1000,511,4685,1.0
1000,512,1816,1.0
1000,515,3285,1.0
1000,517,8413,1.0
1000,518,2428,1.0
1000,519,1166,1.0
1000,521,0,1.0
1000,522,40902,1.0
1000,523,4301,1.0
1000,524,26116,1.0
1000,525,0,1.0
1000,531,15870,1.0
1000,532,7307,1.0
1000,533,106,1.0
1000,541,107141,1.0
1000,551,15592,1.0
1000,561,120173,1.0
1000,562,5260,1.0
1000,611,162102,1.0
1000,621,101489,1.0
1000,622,95718,1.0
1000,623,46837,1.0
1000,624,28091,1.0
1000,711,2494,1.0
1000,712,1539,1.0
1000,713,20697,1.0
1000,721,18121,1.0
1000,722,167189,1.0
1000,811,20406,1.0
1000,812,15044,1.0
1000,813,7859,1.0
1000,814,3437,1.0
1000,921,61351,1.0
1000,922,13324,1.0
1000,923,13467,1.0
1000,924,3024,1.0
1000,925,1315,1.0
