STATE,COUNTY,STNAME,CTYNAME,SHELTER_DATE
1,1,Alabama,Autauga County,4/4/20
1,3,Alabama,Baldwin County,4/4/20
1,5,Alabama,Barbour County,4/4/20
1,7,Alabama,Bibb County,4/4/20
1,9,Alabama,Blount County,4/4/20
1,11,Alabama,Bullock County,4/4/20
1,13,Alabama,Butler County,4/4/20
1,15,Alabama,Calhoun County,4/4/20
1,17,Alabama,Chambers County,4/4/20
1,19,Alabama,Cherokee County,4/4/20
1,21,Alabama,Chilton County,4/4/20
1,23,Alabama,Choctaw County,4/4/20
1,25,Alabama,Clarke County,4/4/20
1,27,Alabama,Clay County,4/4/20
1,29,Alabama,Cleburne County,4/4/20
1,31,Alabama,Coffee County,4/4/20
1,33,Alabama,Colbert County,4/4/20
1,35,Alabama,Conecuh County,4/4/20
1,37,Alabama,Coosa County,4/4/20
1,39,Alabama,Covington County,4/4/20
1,41,Alabama,Crenshaw County,4/4/20
1,43,Alabama,Cullman County,4/4/20
1,45,Alabama,Dale County,4/4/20
1,47,Alabama,Dallas County,4/4/20
1,49,Alabama,DeKalb County,4/4/20
1,51,Alabama,Elmore County,4/4/20
1,53,Alabama,Escambia County,4/4/20
1,55,Alabama,Etowah County,4/4/20
1,57,Alabama,Fayette County,4/4/20
1,59,Alabama,Franklin County,4/4/20
1,61,Alabama,Geneva County,4/4/20
1,63,Alabama,Greene County,4/4/20
1,65,Alabama,Hale County,4/4/20
1,67,Alabama,Henry County,4/4/20
1,69,Alabama,Houston County,4/4/20
1,71,Alabama,Jackson County,4/4/20
1,73,Alabama,Jefferson County,3/24/20
1,75,Alabama,Lamar County,4/4/20
1,77,Alabama,Lauderdale County,4/4/20
1,79,Alabama,Lawrence County,4/4/20
1,81,Alabama,Lee County,4/4/20
1,83,Alabama,Limestone County,4/4/20
1,85,Alabama,Lowndes County,4/4/20
1,87,Alabama,Macon County,4/4/20
1,89,Alabama,Madison County,4/4/20
1,91,Alabama,Marengo County,4/4/20
1,93,Alabama,Marion County,4/4/20
1,95,Alabama,Marshall County,4/4/20
1,97,Alabama,Mobile County,4/4/20
1,99,Alabama,Monroe County,4/4/20
1,101,Alabama,Montgomery County,4/4/20
1,103,Alabama,Morgan County,4/4/20
1,105,Alabama,Perry County,4/4/20
1,107,Alabama,Pickens County,4/4/20
1,109,Alabama,Pike County,4/4/20
1,111,Alabama,Randolph County,4/4/20
1,113,Alabama,Russell County,4/4/20
1,115,Alabama,St. Clair County,4/4/20
1,117,Alabama,Shelby County,3/24/20
1,119,Alabama,Sumter County,4/4/20
1,121,Alabama,Talladega County,4/4/20
1,123,Alabama,Tallapoosa County,4/4/20
1,125,Alabama,Tuscaloosa County,4/4/20
1,127,Alabama,Walker County,4/4/20
1,129,Alabama,Washington County,4/4/20
1,131,Alabama,Wilcox County,4/4/20
1,133,Alabama,Winston County,4/4/20
2,13,Alaska,Aleutians East Borough,3/28/20
2,16,Alaska,Aleutians West Census Area,3/28/20
2,20,Alaska,Anchorage Municipality,3/28/20
2,50,Alaska,Bethel Census Area,3/28/20
2,60,Alaska,Bristol Bay Borough,3/28/20
2,68,Alaska,Denali Borough,3/28/20
2,70,Alaska,Dillingham Census Area,3/28/20
2,90,Alaska,Fairbanks North Star Borough,3/28/20
2,100,Alaska,Haines Borough,3/28/20
2,105,Alaska,Hoonah-Angoon Census Area,3/28/20
2,110,Alaska,Juneau City and Borough,3/28/20
2,122,Alaska,Kenai Peninsula Borough,3/28/20
2,130,Alaska,Ketchikan Gateway Borough,3/28/20
2,150,Alaska,Kodiak Island Borough,3/28/20
2,158,Alaska,Kusilvak Census Area,3/28/20
2,164,Alaska,Lake and Peninsula Borough,3/28/20
2,170,Alaska,Matanuska-Susitna Borough,3/28/20
2,180,Alaska,Nome Census Area,3/28/20
2,185,Alaska,North Slope Borough,3/28/20
2,188,Alaska,Northwest Arctic Borough,3/28/20
2,195,Alaska,Petersburg Borough,3/28/20
2,198,Alaska,Prince of Wales-Hyder Census Area,3/28/20
2,220,Alaska,Sitka City and Borough,3/28/20
2,230,Alaska,Skagway Municipality,3/28/20
2,240,Alaska,Southeast Fairbanks Census Area,3/28/20
2,261,Alaska,Valdez-Cordova Census Area,3/28/20
2,275,Alaska,Wrangell City and Borough,3/28/20
2,282,Alaska,Yakutat City and Borough,3/28/20
2,290,Alaska,Yukon-Koyukuk Census Area,3/28/20
4,1,Arizona,Apache County,3/31/20
4,3,Arizona,Cochise County,3/31/20
4,5,Arizona,Coconino County,3/31/20
4,7,Arizona,Gila County,3/31/20
4,9,Arizona,Graham County,3/31/20
4,11,Arizona,Greenlee County,3/31/20
4,12,Arizona,La Paz County,3/31/20
4,13,Arizona,Maricopa County,3/31/20
4,15,Arizona,Mohave County,3/31/20
4,17,Arizona,Navajo County,3/31/20
4,19,Arizona,Pima County,3/31/20
4,21,Arizona,Pinal County,3/31/20
4,23,Arizona,Santa Cruz County,3/31/20
4,25,Arizona,Yavapai County,3/31/20
4,27,Arizona,Yuma County,3/31/20
5,1,Arkansas,Arkansas County,
5,3,Arkansas,Ashley County,
5,5,Arkansas,Baxter County,
5,7,Arkansas,Benton County,
5,9,Arkansas,Boone County,
5,11,Arkansas,Bradley County,
5,13,Arkansas,Calhoun County,
5,15,Arkansas,Carroll County,
5,17,Arkansas,Chicot County,
5,19,Arkansas,Clark County,
5,21,Arkansas,Clay County,
5,23,Arkansas,Cleburne County,
5,25,Arkansas,Cleveland County,
5,27,Arkansas,Columbia County,
5,29,Arkansas,Conway County,
5,31,Arkansas,Craighead County,
5,33,Arkansas,Crawford County,
5,35,Arkansas,Crittenden County,
5,37,Arkansas,Cross County,
5,39,Arkansas,Dallas County,
